Filename, Percentage Available, Total Days, Available Rows
ASN00011022_precipitation.csv, 4.30, 99955, 4297
ASN00011052_precipitation.csv, 10.96, 100307, 10992
ASN00011053_precipitation.csv, 6.83, 100017, 6829
ASN00012009_precipitation.csv, 8.84, 100017, 8841
ASN00012011_precipitation.csv, 40.71, 100045, 40726
ASN00012013_precipitation.csv, 42.28, 99956, 42263
ASN00012018_precipitation.csv, 39.76, 98554, 39188
ASN00012025_precipitation.csv, 32.83, 100017, 32833
ASN00012027_precipitation.csv, 38.39, 100017, 38398
ASN00012028_precipitation.csv, 28.90, 100017, 28909
ASN00012029_precipitation.csv, 79.20, 44674, 35382
ASN00012038_precipitation.csv, 30.90, 100307, 30999
ASN00012043_precipitation.csv, 36.05, 99711, 35943
ASN00012044_precipitation.csv, 7.91, 100017, 7915
ASN00012045_precipitation.csv, 39.89, 100017, 39893
ASN00012046_precipitation.csv, 90.53, 44777, 40537
ASN00012052_precipitation.csv, 39.61, 100045, 39630
ASN00012054_precipitation.csv, 88.44, 41394, 36607
ASN00012056_precipitation.csv, 33.99, 99895, 33955
ASN00012061_precipitation.csv, 82.63, 42276, 34931
ASN00012064_precipitation.csv, 34.40, 100017, 34406
ASN00012065_precipitation.csv, 91.84, 41822, 38409
ASN00012071_precipitation.csv, 33.06, 100017, 33068
ASN00012072_precipitation.csv, 40.29, 99742, 40190
ASN00012074_precipitation.csv, 86.30, 43373, 37429
ASN00012077_precipitation.csv, 35.07, 100017, 35072
ASN00012079_precipitation.csv, 33.67, 100017, 33675
ASN00012083_precipitation.csv, 38.18, 100017, 38191
ASN00012092_precipitation.csv, 37.46, 100017, 37465
ASN00012093_precipitation.csv, 90.52, 42071, 38083
ASN00012106_precipitation.csv, 36.19, 43551, 15761
ASN00012114_precipitation.csv, 20.09, 100017, 20097
ASN00012117_precipitation.csv, 6.35, 99646, 6325
ASN00012152_precipitation.csv, 23.39, 47024, 10997
ASN00012175_precipitation.csv, 31.95, 40787, 13030
ASN00012176_precipitation.csv, 89.88, 44956, 40406
ASN00012187_precipitation.csv, 67.17, 44255, 29726
ASN00012223_precipitation.csv, 19.88, 99971, 19875
ASN00012227_precipitation.csv, 10.51, 100017, 10507
ASN00012239_precipitation.csv, 15.76, 100017, 15761
ASN00012240_precipitation.csv, 4.94, 100017, 4938
ASN00012241_precipitation.csv, 4.44, 100017, 4442
ASN00012247_precipitation.csv, 19.71, 99969, 19704
ASN00012280_precipitation.csv, 14.26, 100017, 14266
ASN00012291_precipitation.csv, 14.99, 100017, 14996
ASN00012297_precipitation.csv, 12.29, 100017, 12296
ASN00012305_precipitation.csv, 10.36, 100017, 10359
ASN00012306_precipitation.csv, 11.68, 100017, 11681
ASN00012308_precipitation.csv, 11.46, 100017, 11458
ASN00012311_precipitation.csv, 7.05, 100017, 7054
ASN00012312_precipitation.csv, 21.71, 100017, 21712
ASN00012314_precipitation.csv, 10.13, 100017, 10130
ASN00012318_precipitation.csv, 8.34, 100017, 8337
ASN00012320_precipitation.csv, 9.83, 100017, 9836
ASN00013002_precipitation.csv, 26.86, 100017, 26868
ASN00013005_precipitation.csv, 28.19, 100017, 28190
ASN00013011_precipitation.csv, 23.13, 100017, 23137
ASN00013012_precipitation.csv, 94.38, 44047, 41570
ASN00013014_precipitation.csv, 84.30, 40493, 34134
ASN00013015_precipitation.csv, 24.78, 100017, 24786
ASN00013017_precipitation.csv, 24.94, 100306, 25013
ASN00013018_precipitation.csv, 18.77, 100017, 18776
ASN00013024_precipitation.csv, 15.60, 100017, 15601
ASN00013030_precipitation.csv, 17.93, 100017, 17936
ASN00013032_precipitation.csv, 11.79, 99868, 11776
ASN00013034_precipitation.csv, 6.12, 99834, 6107
ASN00013035_precipitation.csv, 10.63, 100017, 10636
ASN00013040_precipitation.csv, 6.40, 100017, 6402
ASN00014013_precipitation.csv, 7.48, 100017, 7485
ASN00014015_precipitation.csv, 30.45, 100017, 30455
ASN00014041_precipitation.csv, 8.06, 100017, 8064
ASN00014048_precipitation.csv, 6.04, 99936, 6037
ASN00014050_precipitation.csv, 5.11, 100017, 5113
ASN00014055_precipitation.csv, 7.08, 100017, 7079
ASN00014059_precipitation.csv, 7.20, 100017, 7200
ASN00014062_precipitation.csv, 6.59, 100017, 6589
ASN00014086_precipitation.csv, 32.00, 48912, 15653
ASN00014090_precipitation.csv, 18.45, 100045, 18459
ASN00014092_precipitation.csv, 18.32, 100017, 18328
ASN00014112_precipitation.csv, 12.39, 100017, 12393
ASN00014116_precipitation.csv, 13.62, 99652, 13573
